what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1489553341363
opened,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1489553341519
opened,view,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1489553342440
opened,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1489553343110
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1489553343329
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1489553347728
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489553352626
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489553364685
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1489553365169
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1489553365309
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489553380753
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489553382781
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.generate.constructor.using.fields",1489553382797
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489553400160
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489553406471
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.generate.constructor.using.fields",1489553406487
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1489553408811
